,METANO,ETANO,CO2,N2,PROPANO,N-BUTANO,H2S,N-PENTANO,N-HEXANO,N-HEPTANO,N-OCTANO,N-NONANO,N-DECANO,N-PENTADECANO,CICLOHEXANO,BENZENO,TOLUENO,ÁGUA (PURA),GÁS OXIGÊNIO,ARGÔNIO
METANO,<empty>,"0,00224","0,10000","0,03600","0,00683","0,01230","0,08500","0,02190","0,03950","0,03097","0,05121","0,04400","0,04701","0,01427","0,03920","0,04000","0,06490","0,50000","0,03496","0,02300"
ETANO,"0,00224",<empty>,"0,12980","0,05000","0,00126","0,00410","0,08400","0,00820","0,00042","0,00320","0,01670","0,02199","0,00700","-0,00074","0,02610","0,02000","0,03440","0,50000","0,05351","0,05000"
CO2,"0,10000","0,12980",<empty>,"-0,02000","0,13500","0,12980","0,10000","0,12500","0,12500","0,11990","0,11500","0,10370","0,11810","0,09545","0,09010","0,08060","0,09360","-0,55720","0,09750","0,00000"
N2,"0,03600","0,05000","-0,02000",<empty>,"0,08000","0,09000","0,16760","0,10150","0,14150","0,15350","0,17100","0,17780","0,12050","0,21136","0,10000","0,15970","0,19320","-2,23800","-0,01200","0,00000"
PROPANO,"0,00683","0,00126","0,13500","0,08000",<empty>,"0,00082","0,07500","0,00471","0,00682","0,00769","0,00725","0,00697","0,00620","-0,01397","0,01430","0,02000","0,03100","0,48000","0,07318","0,03753"
N-BUTANO,"0,12300","0,00410","0,12980","0,09000","0,00082",<empty>,"0,06000","-0,00003","0,00091","0,00083","-0,00032","-0,00118","-0,00239","-0,02143","0,00578","0,01019","0,00601","0,48000","0,09399","0,11510"
H2S,"0,08500","0,08400","0,10000","0,16760","0,07500","0,06000",<empty>,"0,04972","0,05915","0,06596","0,05500","0,05000","0,03560","-0,00488","0,05874","0,00900","0,00810","-0,38960","0,00000","0,00000"
N-PENTANO,"0,02190","0,00820","0,12500","0,10150","0,00471","-0,00003","0,04972",<empty>,"-0,00049","-0,00117","-0,00277","-0,00399","-0,00546","-0,02365","0,00130","0,01600","0,01300","0,48000","0,11518","0,07130"
N-HEXANO,"0,03950","0,00042","0,12500","0,14150","0,00682","0,00091","0,05915","-0,00049",<empty>,"-0,00184","-0,00380","-0,00530","-0,00701","-0,02478","-0,00300","0,00700","0,00800","0,48000","0,09500","0,02132"
N-HEPTANO,"0,03097","0,00320","0,11990","0,15350","0,00769","0,00083","0,06596","-0,00117","-0,00184",<empty>,"-0,00292","-0,00463","-0,00650","-0,02394","-0,00720","-0,00200","0,00600","0,48000","0,15870","0,08660"
N-OCTANO,"0,05121","0,01670","0,11500","0,17100","0,00725","-0,00032","0,05500","-0,00277","-0,00380","-0,00292",<empty>,"-0,00257","-0,00456","-0,02171","-0,00906","0,00300","-0,00400","0,48000","0,15600","0,11463"
N-NONANO,"0,04400","0,02199","0,10370","0,17780","0,00697","-0,00118","0,05000","-0,00399","-0,00530","-0,00463","-0,00257",<empty>,"-0,00280","-0,01984","-0,01051","-0,00524","-0,00953","0,48000","0,20298","0,11241"
N-DECANO,"0,04701","0,00700","0,11810","0,12050","0,00620","-0,00239","0,03560","-0,00546","-0,00701","-0,00650","-0,00456","-0,00280",<empty>,"-0,01768","0,01000","0,01000","0,01000","0,48000","0,22529","0,12404"
N-PENTADECANO,"0,01427","-0,00074","0,09545","0,21136","-0,01397","-0,02143","-0,00488","-0,02365","-0,02478","-0,02394","-0,02171","-0,01984","-0,01768",<empty>,"-0,03171","-0,00746","-0,02722","0,48000","0,33050","0,14388"
CICLOHEXANO,"0,03920","0,02610","0,09010","0,10000","0,01430","0,00578","0,05874","0,00130","-0,00300","-0,00720","-0,00906","-0,01051","0,01000","-0,03171",<empty>,"0,02012","0,00300","0,48000","0,11405","0,04707"
BENZENO,"0,04000","0,02000","0,08060","0,15970","0,02000","0,01019","0,00900","0,01600","0,00700","-0,00200","0,00300","-0,00524","0,01000","-0,00746","0,02012",<empty>,"0,00900","0,48000","0,09588","0,03466"
TOLUENO,"0,06490","0,03440","0,09360","0,19320","0,03100","0,00601","0,00810","0,01300","0,00800","0,00600","-0,00400","-0,00953","0,01000","-0,02722","0,00300","0,00900",<empty>,"0,48000","0,20800","0,06096"
ÁGUA (PURA),"0,50000","0,50000","-0,55720","-2,23800","0,48000","0,48000","-0,38960","0,48000","0,48000","0,48000","0,48000","0,48000","0,48000","0,48000","0,48000","0,48000","0,48000",<empty>,"0,00000","0,50000"
GÁS OXIGÊNIO,"0,03496","0,05351","0,09750","-0,01200","0,07318","0,09399","0,00000","0,11518","0,09500","0,15870","0,15600","0,20298","0,22529","0,33050","0,11405","0,09588","0,20800","0,00000",<empty>,"0,01040"
ARGÔNIO,"0,02300","0,05000","0,00000","0,00000","0,03753","0,11510","0,00000","0,07130","0,02132","0,08660","0,11463","0,11241","0,12404","0,14388","0,04707","0,03466","0,06096","0,50000","0,01040",<empty>